question_id,question
Q1,"Please describe the cloud infrastructure providers used to host the StreamHive platform (e.g., AWS, GCP, Azure). If multiple providers are used, specify their roles."
Q2,"Does StreamHive encrypt customer data both at rest and in transit? If yes, briefly mention the encryption standards used."
Q3,"What authentication mechanisms are supported for user accounts (for example: email/password, SSO, OAuth, etc.)?"
Q4,"Does StreamHive support multi-factor authentication (MFA) for administrator or internal accounts? If yes, list supported methods."
Q5,"In which geographic regions are StreamHive production data centers currently located?"
Q6,"Describe the content delivery approach used to ensure reliable and low-latency video streaming (for example CDN usage or edge caching)."
Q7,"How are user passwords stored and protected within the platform?"
Q8,"Does StreamHive maintain system or user activity logs for security monitoring and audit purposes?"
Q9,"What is the data retention policy for user accounts, viewing history, and associated metadata?"
Q10,"How frequently does StreamHive conduct security audits, vulnerability scans, or penetration testing?"
Q11,"What technical measures are implemented to prevent unauthorized downloading or redistribution of copyrighted media content?"
Q12,"Does StreamHive provide any uptime or availability guarantees for its service? If so, mention the typical SLA commitment."
Q13,"If applicable, list any compliance frameworks or security standards followed by the company (for example SOC 2, ISO 27001, etc.)."
Q14,"Optional: briefly describe any internal monitoring or alerting systems used to detect unusual platform activity or service disruptions."